Name	Value	Time
txInjected-average	0	2019-12-25T00:43:42.385Z
txInjected-total	0	2019-12-25T00:43:42.385Z
txApplied-average	2	2019-12-25T00:43:42.385Z
txApplied-total	2	2019-12-25T00:43:42.385Z
txRejected-average	0	2019-12-25T00:43:42.385Z
txRejected-total	0	2019-12-25T00:43:42.385Z
txExpired-average	0	2019-12-25T00:43:42.385Z
txExpired-total	0	2019-12-25T00:43:42.385Z
txProcessed-average	0	2019-12-25T00:43:42.385Z
txProcessed-total	0	2019-12-25T00:43:42.385Z
queueLength-average	1	2019-12-25T00:43:42.385Z
queueLength-value	1	2019-12-25T00:43:42.385Z
serverLoad-average	0	2019-12-25T00:43:42.385Z
serverLoad-value	0	2019-12-25T00:43:42.385Z
txTimeInQueue-average	5.351	2019-12-25T00:43:42.385Z
txInjected-average	0	2019-12-25T00:43:43.385Z
txInjected-total	0	2019-12-25T00:43:43.385Z
txApplied-average	1.5	2019-12-25T00:43:43.385Z
txApplied-total	3	2019-12-25T00:43:43.385Z
txRejected-average	0	2019-12-25T00:43:43.385Z
txRejected-total	0	2019-12-25T00:43:43.385Z
txExpired-average	0	2019-12-25T00:43:43.385Z
txExpired-total	0	2019-12-25T00:43:43.385Z
txProcessed-average	0	2019-12-25T00:43:43.385Z
txProcessed-total	0	2019-12-25T00:43:43.385Z
queueLength-average	0.5	2019-12-25T00:43:43.385Z
queueLength-value	0	2019-12-25T00:43:43.385Z
serverLoad-average	0.5	2019-12-25T00:43:43.385Z
serverLoad-value	1	2019-12-25T00:43:43.385Z
txTimeInQueue-average	2.6755	2019-12-25T00:43:43.385Z
txInjected-average	0	2019-12-25T00:43:44.389Z
txInjected-total	0	2019-12-25T00:43:44.389Z
txApplied-average	1	2019-12-25T00:43:44.389Z
txApplied-total	3	2019-12-25T00:43:44.389Z
txRejected-average	0	2019-12-25T00:43:44.389Z
txRejected-total	0	2019-12-25T00:43:44.389Z
txExpired-average	0	2019-12-25T00:43:44.389Z
txExpired-total	0	2019-12-25T00:43:44.389Z
txProcessed-average	0	2019-12-25T00:43:44.389Z
txProcessed-total	0	2019-12-25T00:43:44.389Z
queueLength-average	0.3333333333333333	2019-12-25T00:43:44.389Z
queueLength-value	0	2019-12-25T00:43:44.389Z
serverLoad-average	0.5116999999999999	2019-12-25T00:43:44.389Z
serverLoad-value	0.5351	2019-12-25T00:43:44.389Z
txTimeInQueue-average	1.7836666666666667	2019-12-25T00:43:44.389Z
txInjected-average	0	2019-12-25T00:43:45.390Z
txInjected-total	0	2019-12-25T00:43:45.390Z
txApplied-average	0.75	2019-12-25T00:43:45.390Z
txApplied-total	3	2019-12-25T00:43:45.390Z
txRejected-average	0	2019-12-25T00:43:45.390Z
txRejected-total	0	2019-12-25T00:43:45.390Z
txExpired-average	0	2019-12-25T00:43:45.390Z
txExpired-total	0	2019-12-25T00:43:45.390Z
txProcessed-average	0	2019-12-25T00:43:45.390Z
txProcessed-total	0	2019-12-25T00:43:45.390Z
queueLength-average	0.25	2019-12-25T00:43:45.390Z
queueLength-value	0	2019-12-25T00:43:45.390Z
serverLoad-average	0.4729583333333333	2019-12-25T00:43:45.390Z
serverLoad-value	0.35673333333333335	2019-12-25T00:43:45.390Z
txTimeInQueue-average	1.33775	2019-12-25T00:43:45.390Z
txInjected-average	0	2019-12-25T00:43:46.398Z
txInjected-total	0	2019-12-25T00:43:46.398Z
txApplied-average	0.6	2019-12-25T00:43:46.398Z
txApplied-total	3	2019-12-25T00:43:46.398Z
txRejected-average	0	2019-12-25T00:43:46.398Z
txRejected-total	0	2019-12-25T00:43:46.398Z
txExpired-average	0	2019-12-25T00:43:46.398Z
txExpired-total	0	2019-12-25T00:43:46.398Z
txProcessed-average	0	2019-12-25T00:43:46.398Z
txProcessed-total	0	2019-12-25T00:43:46.398Z
queueLength-average	0.2	2019-12-25T00:43:46.398Z
queueLength-value	0	2019-12-25T00:43:46.398Z
serverLoad-average	0.4318766666666667	2019-12-25T00:43:46.398Z
serverLoad-value	0.26755	2019-12-25T00:43:46.398Z
txTimeInQueue-average	1.0702	2019-12-25T00:43:46.398Z
txInjected-average	0	2019-12-25T00:43:47.398Z
txInjected-total	0	2019-12-25T00:43:47.398Z
txApplied-average	0.5	2019-12-25T00:43:47.398Z
txApplied-total	3	2019-12-25T00:43:47.398Z
txRejected-average	0	2019-12-25T00:43:47.398Z
txRejected-total	0	2019-12-25T00:43:47.398Z
txExpired-average	0	2019-12-25T00:43:47.398Z
txExpired-total	0	2019-12-25T00:43:47.398Z
txProcessed-average	0	2019-12-25T00:43:47.398Z
txProcessed-total	0	2019-12-25T00:43:47.398Z
queueLength-average	0.16666666666666666	2019-12-25T00:43:47.398Z
queueLength-value	0	2019-12-25T00:43:47.398Z
serverLoad-average	0.39557055555555554	2019-12-25T00:43:47.398Z
serverLoad-value	0.21404	2019-12-25T00:43:47.398Z
txTimeInQueue-average	0.8918333333333334	2019-12-25T00:43:47.398Z
txInjected-average	0	2019-12-25T00:43:48.398Z
txInjected-total	0	2019-12-25T00:43:48.398Z
txApplied-average	0.42857142857142855	2019-12-25T00:43:48.398Z
txApplied-total	3	2019-12-25T00:43:48.398Z
txRejected-average	0	2019-12-25T00:43:48.398Z
txRejected-total	0	2019-12-25T00:43:48.398Z
txExpired-average	0	2019-12-25T00:43:48.398Z
txExpired-total	0	2019-12-25T00:43:48.398Z
txProcessed-average	0	2019-12-25T00:43:48.398Z
txProcessed-total	0	2019-12-25T00:43:48.398Z
queueLength-average	0.14285714285714285	2019-12-25T00:43:48.398Z
queueLength-value	0	2019-12-25T00:43:48.398Z
serverLoad-average	0.36454142857142857	2019-12-25T00:43:48.398Z
serverLoad-value	0.17836666666666667	2019-12-25T00:43:48.398Z
txTimeInQueue-average	0.7644285714285715	2019-12-25T00:43:48.398Z
txInjected-average	0	2019-12-25T00:43:49.398Z
txInjected-total	0	2019-12-25T00:43:49.398Z
txApplied-average	0.375	2019-12-25T00:43:49.398Z
txApplied-total	3	2019-12-25T00:43:49.398Z
txRejected-average	0	2019-12-25T00:43:49.398Z
txRejected-total	0	2019-12-25T00:43:49.398Z
txExpired-average	0	2019-12-25T00:43:49.398Z
txExpired-total	0	2019-12-25T00:43:49.398Z
txProcessed-average	0	2019-12-25T00:43:49.398Z
txProcessed-total	0	2019-12-25T00:43:49.398Z
queueLength-average	0.125	2019-12-25T00:43:49.398Z
queueLength-value	0	2019-12-25T00:43:49.398Z
serverLoad-average	0.33808446428571426	2019-12-25T00:43:49.398Z
serverLoad-value	0.1528857142857143	2019-12-25T00:43:49.398Z
txTimeInQueue-average	0.668875	2019-12-25T00:43:49.398Z
txInjected-average	0	2019-12-25T00:43:50.399Z
txInjected-total	0	2019-12-25T00:43:50.399Z
txApplied-average	0.3333333333333333	2019-12-25T00:43:50.399Z
txApplied-total	3	2019-12-25T00:43:50.399Z
txRejected-average	0	2019-12-25T00:43:50.399Z
txRejected-total	0	2019-12-25T00:43:50.399Z
txExpired-average	0	2019-12-25T00:43:50.399Z
