Name	Value	Time
txInjected-average	0	2019-12-25T00:42:24.982Z
txInjected-total	0	2019-12-25T00:42:24.982Z
txApplied-average	0	2019-12-25T00:42:24.982Z
txApplied-total	0	2019-12-25T00:42:24.982Z
txRejected-average	0	2019-12-25T00:42:24.982Z
txRejected-total	0	2019-12-25T00:42:24.982Z
txExpired-average	0	2019-12-25T00:42:24.982Z
txExpired-total	0	2019-12-25T00:42:24.982Z
txProcessed-average	0	2019-12-25T00:42:24.982Z
txProcessed-total	0	2019-12-25T00:42:24.982Z
queueLength-average	0	2019-12-25T00:42:24.982Z
queueLength-value	0	2019-12-25T00:42:24.982Z
serverLoad-average	0	2019-12-25T00:42:24.982Z
serverLoad-value	0	2019-12-25T00:42:24.982Z
txTimeInQueue-average	0	2019-12-25T00:42:24.982Z
txInjected-average	0	2019-12-25T00:42:25.984Z
txInjected-total	0	2019-12-25T00:42:25.984Z
txApplied-average	0	2019-12-25T00:42:25.984Z
txApplied-total	0	2019-12-25T00:42:25.984Z
txRejected-average	0	2019-12-25T00:42:25.984Z
txRejected-total	0	2019-12-25T00:42:25.984Z
txExpired-average	0	2019-12-25T00:42:25.984Z
txExpired-total	0	2019-12-25T00:42:25.984Z
txProcessed-average	0	2019-12-25T00:42:25.984Z
txProcessed-total	0	2019-12-25T00:42:25.984Z
queueLength-average	0	2019-12-25T00:42:25.984Z
queueLength-value	0	2019-12-25T00:42:25.984Z
serverLoad-average	0	2019-12-25T00:42:25.984Z
serverLoad-value	0	2019-12-25T00:42:25.984Z
txTimeInQueue-average	0	2019-12-25T00:42:25.984Z
txInjected-average	0	2019-12-25T00:42:26.991Z
txInjected-total	0	2019-12-25T00:42:26.991Z
txApplied-average	0	2019-12-25T00:42:26.991Z
txApplied-total	0	2019-12-25T00:42:26.991Z
txRejected-average	0	2019-12-25T00:42:26.991Z
txRejected-total	0	2019-12-25T00:42:26.991Z
txExpired-average	0	2019-12-25T00:42:26.991Z
txExpired-total	0	2019-12-25T00:42:26.991Z
txProcessed-average	0	2019-12-25T00:42:26.991Z
txProcessed-total	0	2019-12-25T00:42:26.991Z
queueLength-average	0	2019-12-25T00:42:26.991Z
queueLength-value	0	2019-12-25T00:42:26.991Z
serverLoad-average	0	2019-12-25T00:42:26.991Z
serverLoad-value	0	2019-12-25T00:42:26.991Z
txTimeInQueue-average	0	2019-12-25T00:42:26.991Z
txInjected-average	0	2019-12-25T00:42:27.992Z
txInjected-total	0	2019-12-25T00:42:27.992Z
txApplied-average	0	2019-12-25T00:42:27.992Z
txApplied-total	0	2019-12-25T00:42:27.992Z
txRejected-average	0	2019-12-25T00:42:27.992Z
txRejected-total	0	2019-12-25T00:42:27.992Z
txExpired-average	0	2019-12-25T00:42:27.992Z
txExpired-total	0	2019-12-25T00:42:27.992Z
txProcessed-average	0	2019-12-25T00:42:27.992Z
txProcessed-total	0	2019-12-25T00:42:27.992Z
queueLength-average	0	2019-12-25T00:42:27.992Z
queueLength-value	0	2019-12-25T00:42:27.992Z
serverLoad-average	0	2019-12-25T00:42:27.992Z
serverLoad-value	0	2019-12-25T00:42:27.992Z
txTimeInQueue-average	0	2019-12-25T00:42:27.992Z
txInjected-average	0	2019-12-25T00:42:28.992Z
txInjected-total	0	2019-12-25T00:42:28.992Z
txApplied-average	0	2019-12-25T00:42:28.992Z
txApplied-total	0	2019-12-25T00:42:28.992Z
txRejected-average	0	2019-12-25T00:42:28.992Z
txRejected-total	0	2019-12-25T00:42:28.992Z
txExpired-average	0	2019-12-25T00:42:28.992Z
txExpired-total	0	2019-12-25T00:42:28.992Z
txProcessed-average	0	2019-12-25T00:42:28.992Z
txProcessed-total	0	2019-12-25T00:42:28.992Z
queueLength-average	0	2019-12-25T00:42:28.992Z
queueLength-value	0	2019-12-25T00:42:28.992Z
serverLoad-average	0	2019-12-25T00:42:28.992Z
serverLoad-value	0	2019-12-25T00:42:28.992Z
txTimeInQueue-average	0	2019-12-25T00:42:28.992Z
txInjected-average	0	2019-12-25T00:42:29.992Z
txInjected-total	0	2019-12-25T00:42:29.992Z
txApplied-average	0	2019-12-25T00:42:29.992Z
txApplied-total	0	2019-12-25T00:42:29.992Z
txRejected-average	0	2019-12-25T00:42:29.992Z
txRejected-total	0	2019-12-25T00:42:29.992Z
txExpired-average	0	2019-12-25T00:42:29.992Z
txExpired-total	0	2019-12-25T00:42:29.992Z
txProcessed-average	0	2019-12-25T00:42:29.992Z
txProcessed-total	0	2019-12-25T00:42:29.992Z
queueLength-average	0	2019-12-25T00:42:29.992Z
queueLength-value	0	2019-12-25T00:42:29.992Z
serverLoad-average	0	2019-12-25T00:42:29.992Z
serverLoad-value	0	2019-12-25T00:42:29.992Z
txTimeInQueue-average	0	2019-12-25T00:42:29.992Z
txInjected-average	0	2019-12-25T00:42:30.996Z
txInjected-total	0	2019-12-25T00:42:30.996Z
txApplied-average	0	2019-12-25T00:42:30.996Z
txApplied-total	0	2019-12-25T00:42:30.996Z
txRejected-average	0	2019-12-25T00:42:30.996Z
txRejected-total	0	2019-12-25T00:42:30.996Z
txExpired-average	0	2019-12-25T00:42:30.996Z
txExpired-total	0	2019-12-25T00:42:30.996Z
txProcessed-average	0	2019-12-25T00:42:30.996Z
txProcessed-total	0	2019-12-25T00:42:30.996Z
queueLength-average	0	2019-12-25T00:42:30.996Z
queueLength-value	0	2019-12-25T00:42:30.996Z
serverLoad-average	0	2019-12-25T00:42:30.996Z
serverLoad-value	0	2019-12-25T00:42:30.996Z
txTimeInQueue-average	0	2019-12-25T00:42:30.996Z
txInjected-average	0	2019-12-25T00:42:31.996Z
txInjected-total	0	2019-12-25T00:42:31.996Z
txApplied-average	0	2019-12-25T00:42:31.996Z
txApplied-total	0	2019-12-25T00:42:31.996Z
txRejected-average	0	2019-12-25T00:42:31.996Z
txRejected-total	0	2019-12-25T00:42:31.996Z
txExpired-average	0	2019-12-25T00:42:31.996Z
txExpired-total	0	2019-12-25T00:42:31.996Z
txProcessed-average	0	2019-12-25T00:42:31.996Z
txProcessed-total	0	2019-12-25T00:42:31.996Z
queueLength-average	0	2019-12-25T00:42:31.996Z
queueLength-value	0	2019-12-25T00:42:31.996Z
serverLoad-average	0	2019-12-25T00:42:31.996Z
serverLoad-value	0	2019-12-25T00:42:31.996Z
txTimeInQueue-average	0	2019-12-25T00:42:31.996Z
txInjected-average	0	2019-12-25T00:42:33.002Z
txInjected-total	0	2019-12-25T00:42:33.002Z
txApplied-average	0	2019-12-25T00:42:33.002Z
txApplied-total	0	2019-12-25T00:42:33.002Z
txRejected-average	0	2019-12-25T00:42:33.002Z
txRejected-total	0	2019-12-25T00:42:33.002Z
txExpired-average	0	2019-12-25T00:42:33.002Z
txExpired-total	0	2019-12-25T00:42:33.002Z
txProcessed-average	0	2019-12-25T00:42:33.002Z
txProcessed-total	0	2019-12-25T00:42:33.002Z
queueLength-average	0	2019-12-25T00:42:33.002Z
queueLength-value	0	2019-12-25T00:42:33.002Z
serverLoad-average	0	2019-12-25T00:42:33.002Z
serverLoad-value	0	2019-12-25T00:42:33.002Z
txTimeInQueue-average	0	2019-12-25T00:42:33.002Z
txInjected-average	0	2019-12-25T00:42:34.009Z
txInjected-total	0	2019-12-25T00:42:34.009Z
txApplied-average	0	2019-12-25T00:42:34.009Z
txApplied-total	0	2019-12-25T00:42:34.009Z
txRejected-average	0	2019-12-25T00:42:34.009Z
txRejected-total	0	2019-12-25T00:42:34.009Z
txExpired-average	0	2019-12-25T00:42:34.009Z
txExpired-total	0	2019-12-25T00:42:34.009Z
txProcessed-average	0	2019-12-25T00:42:34.009Z
txProcessed-total	0	2019-12-25T00:42:34.009Z
queueLength-average	0	2019-12-25T00:42:34.009Z
queueLength-value	0	2019-12-25T00:42:34.009Z
serverLoad-average	0	2019-12-25T00:42:34.009Z
serverLoad-value	0	2019-12-25T00:42:34.009Z
txTimeInQueue-average	0	2019-12-25T00:42:34.009Z
txInjected-average	0	2019-12-25T00:42:35.014Z
txInjected-total	0	2019-12-25T00:42:35.014Z
txApplied-average	0	2019-12-25T00:42:35.014Z
txApplied-total	0	2019-12-25T00:42:35.014Z
txRejected-average	0	2019-12-25T00:42:35.014Z
txRejected-total	0	2019-12-25T00:42:35.014Z
txExpired-average	0	2019-12-25T00:42:35.014Z
txExpired-total	0	2019-12-25T00:42:35.014Z
txProcessed-average	0	2019-12-25T00:42:35.014Z
txProcessed-total	0	2019-12-25T00:42:35.014Z
queueLength-average	0	2019-12-25T00:42:35.014Z
queueLength-value	0	2019-12-25T00:42:35.014Z
serverLoad-average	0	2019-12-25T00:42:35.014Z
serverLoad-value	0	2019-12-25T00:42:35.014Z
txTimeInQueue-average	0	2019-12-25T00:42:35.014Z
txInjected-average	0	2019-12-25T00:42:36.018Z
txInjected-total	0	2019-12-25T00:42:36.018Z
txApplied-average	0	2019-12-25T00:42:36.018Z
txApplied-total	0	2019-12-25T00:42:36.018Z
txRejected-average	0	2019-12-25T00:42:36.018Z
txRejected-total	0	2019-12-25T00:42:36.018Z
txExpired-average	0	2019-12-25T00:42:36.018Z
txExpired-total	0	2019-12-25T00:42:36.018Z
txProcessed-average	0	2019-12-25T00:42:36.018Z
txProcessed-total	0	2019-12-25T00:42:36.018Z
queueLength-average	0	2019-12-25T00:42:36.018Z
queueLength-value	0	2019-12-25T00:42:36.018Z
serverLoad-average	0	2019-12-25T00:42:36.018Z
serverLoad-value	0	2019-12-25T00:42:36.018Z
txTimeInQueue-average	0	2019-12-25T00:42:36.018Z
txInjected-average	0	2019-12-25T00:42:37.020Z
txInjected-total	0	2019-12-25T00:42:37.020Z
txApplied-average	0	2019-12-25T00:42:37.020Z
txApplied-total	0	2019-12-25T00:42:37.020Z
txRejected-average	0	2019-12-25T00:42:37.020Z
txRejected-total	0	2019-12-25T00:42:37.020Z
txExpired-average	0	2019-12-25T00:42:37.020Z
txExpired-total	0	2019-12-25T00:42:37.020Z
txProcessed-average	0	2019-12-25T00:42:37.020Z
txProcessed-total	0	2019-12-25T00:42:37.020Z
queueLength-average	0	2019-12-25T00:42:37.020Z
queueLength-value	0	2019-12-25T00:42:37.020Z
serverLoad-average	0	2019-12-25T00:42:37.020Z
serverLoad-value	0	2019-12-25T00:42:37.020Z
txTimeInQueue-average	0	2019-12-25T00:42:37.020Z
txInjected-average	0	2019-12-25T00:42:38.024Z
txInjected-total	0	2019-12-25T00:42:38.024Z
txApplied-average	0	2019-12-25T00:42:38.024Z
txApplied-total	0	2019-12-25T00:42:38.024Z
txRejected-average	0	2019-12-25T00:42:38.024Z
txRejected-total	0	2019-12-25T00:42:38.024Z
txExpired-average	0	2019-12-25T00:42:38.024Z
txExpired-total	0	2019-12-25T00:42:38.024Z
txProcessed-average	0	2019-12-25T00:42:38.024Z
txProcessed-total	0	2019-12-25T00:42:38.024Z
queueLength-average	0	2019-12-25T00:42:38.024Z
queueLength-value	0	2019-12-25T00:42:38.024Z
serverLoad-average	0	2019-12-25T00:42:38.024Z
serverLoad-value	0	2019-12-25T00:42:38.024Z
txTimeInQueue-average	0	2019-12-25T00:42:38.024Z
txInjected-average	0	2019-12-25T00:42:39.026Z
txInjected-total	0	2019-12-25T00:42:39.026Z
txApplied-average	0	2019-12-25T00:42:39.026Z
txApplied-total	0	2019-12-25T00:42:39.026Z
txRejected-average	0	2019-12-25T00:42:39.026Z
txRejected-total	0	2019-12-25T00:42:39.026Z
txExpired-average	0	2019-12-25T00:42:39.026Z
txExpired-total	0	2019-12-25T00:42:39.026Z
txProcessed-average	0	2019-12-25T00:42:39.026Z
txProcessed-total	0	2019-12-25T00:42:39.026Z
queueLength-average	0	2019-12-25T00:42:39.026Z
queueLength-value	0	2019-12-25T00:42:39.026Z
serverLoad-average	0	2019-12-25T00:42:39.026Z
serverLoad-value	0	2019-12-25T00:42:39.026Z
txTimeInQueue-average	0	2019-12-25T00:42:39.026Z
txInjected-average	0	2019-12-25T00:42:40.030Z
txInjected-total	0	2019-12-25T00:42:40.030Z
txApplied-average	0	2019-12-25T00:42:40.030Z
txApplied-total	0	2019-12-25T00:42:40.030Z
txRejected-average	0	2019-12-25T00:42:40.030Z
txRejected-total	0	2019-12-25T00:42:40.030Z
txExpired-average	0	2019-12-25T00:42:40.030Z
txExpired-total	0	2019-12-25T00:42:40.030Z
txProcessed-average	0	2019-12-25T00:42:40.030Z
txProcessed-total	0	2019-12-25T00:42:40.030Z
queueLength-average	0	2019-12-25T00:42:40.030Z
queueLength-value	0	2019-12-25T00:42:40.030Z
serverLoad-average	0	2019-12-25T00:42:40.030Z
serverLoad-value	0	2019-12-25T00:42:40.030Z
txTimeInQueue-average	0	2019-12-25T00:42:40.030Z
txInjected-average	0	2019-12-25T00:42:41.032Z
txInjected-total	0	2019-12-25T00:42:41.032Z
txApplied-average	0	2019-12-25T00:42:41.032Z
txApplied-total	0	2019-12-25T00:42:41.032Z
txRejected-average	0	2019-12-25T00:42:41.032Z
txRejected-total	0	2019-12-25T00:42:41.032Z
txExpired-average	0	2019-12-25T00:42:41.032Z
txExpired-total	0	2019-12-25T00:42:41.032Z
txProcessed-average	0	2019-12-25T00:42:41.032Z
txProcessed-total	0	2019-12-25T00:42:41.032Z
queueLength-average	0	2019-12-25T00:42:41.032Z
queueLength-value	0	2019-12-25T00:42:41.032Z
serverLoad-average	0	2019-12-25T00:42:41.032Z
serverLoad-value	0	2019-12-25T00:42:41.032Z
txTimeInQueue-average	0	2019-12-25T00:42:41.032Z
txInjected-average	0	2019-12-25T00:42:42.037Z
txInjected-total	0	2019-12-25T00:42:42.037Z
txApplied-average	0	2019-12-25T00:42:42.037Z
txApplied-total	0	2019-12-25T00:42:42.037Z
txRejected-average	0	2019-12-25T00:42:42.037Z
txRejected-total	0	2019-12-25T00:42:42.037Z
txExpired-average	0	2019-12-25T00:42:42.037Z
txExpired-total	0	2019-12-25T00:42:42.037Z
txProcessed-average	0	2019-12-25T00:42:42.037Z
txProcessed-total	0	2019-12-25T00:42:42.037Z
queueLength-average	0	2019-12-25T00:42:42.037Z
queueLength-value	0	2019-12-25T00:42:42.037Z
serverLoad-average	0	2019-12-25T00:42:42.037Z
serverLoad-value	0	2019-12-25T00:42:42.037Z
txTimeInQueue-average	0	2019-12-25T00:42:42.037Z
txInjected-average	0	2019-12-25T00:42:43.040Z
txInjected-total	0	2019-12-25T00:42:43.040Z
txApplied-average	0	2019-12-25T00:42:43.040Z
txApplied-total	0	2019-12-25T00:42:43.040Z
txRejected-average	0	2019-12-25T00:42:43.040Z
txRejected-total	0	2019-12-25T00:42:43.040Z
txExpired-average	0	2019-12-25T00:42:43.040Z
txExpired-total	0	2019-12-25T00:42:43.040Z
txProcessed-average	0	2019-12-25T00:42:43.040Z
txProcessed-total	0	2019-12-25T00:42:43.040Z
queueLength-average	0	2019-12-25T00:42:43.040Z
queueLength-value	0	2019-12-25T00:42:43.040Z
serverLoad-average	0	2019-12-25T00:42:43.040Z
serverLoad-value	0	2019-12-25T00:42:43.040Z
txTimeInQueue-average	0	2019-12-25T00:42:43.040Z
txInjected-average	0	2019-12-25T00:42:44.042Z
txInjected-total	0	2019-12-25T00:42:44.042Z
txApplied-average	0	2019-12-25T00:42:44.042Z
txApplied-total	0	2019-12-25T00:42:44.042Z
txRejected-average	0	2019-12-25T00:42:44.042Z
txRejected-total	0	2019-12-25T00:42:44.042Z
txExpired-average	0	2019-12-25T00:42:44.042Z
txExpired-total	0	2019-12-25T00:42:44.042Z
txProcessed-average	0	2019-12-25T00:42:44.042Z
txProcessed-total	0	2019-12-25T00:42:44.042Z
queueLength-average	0	2019-12-25T00:42:44.042Z
queueLength-value	0	2019-12-25T00:42:44.042Z
serverLoad-average	0	2019-12-25T00:42:44.042Z
serverLoad-value	0	2019-12-25T00:42:44.042Z
txTimeInQueue-average	0	2019-12-25T00:42:44.042Z
txInjected-average	0	2019-12-25T00:42:45.047Z
txInjected-total	0	2019-12-25T00:42:45.047Z
txApplied-average	0	2019-12-25T00:42:45.047Z
txApplied-total	0	2019-12-25T00:42:45.047Z
txRejected-average	0	2019-12-25T00:42:45.047Z
txRejected-total	0	2019-12-25T00:42:45.047Z
txExpired-average	0	2019-12-25T00:42:45.047Z
txExpired-total	0	2019-12-25T00:42:45.047Z
txProcessed-average	0	2019-12-25T00:42:45.047Z
txProcessed-total	0	2019-12-25T00:42:45.047Z
queueLength-average	0	2019-12-25T00:42:45.047Z
queueLength-value	0	2019-12-25T00:42:45.047Z
serverLoad-average	0	2019-12-25T00:42:45.047Z
serverLoad-value	0	2019-12-25T00:42:45.047Z
txTimeInQueue-average	0	2019-12-25T00:42:45.047Z
txInjected-average	0	2019-12-25T00:42:46.050Z
txInjected-total	0	2019-12-25T00:42:46.050Z
txApplied-average	0	2019-12-25T00:42:46.050Z
txApplied-total	0	2019-12-25T00:42:46.050Z
txRejected-average	0	2019-12-25T00:42:46.050Z
txRejected-total	0	2019-12-25T00:42:46.050Z
txExpired-average	0	2019-12-25T00:42:46.050Z
txExpired-total	0	2019-12-25T00:42:46.050Z
txProcessed-average	0	2019-12-25T00:42:46.050Z
txProcessed-total	0	2019-12-25T00:42:46.050Z
queueLength-average	0	2019-12-25T00:42:46.050Z
queueLength-value	0	2019-12-25T00:42:46.050Z
serverLoad-average	0	2019-12-25T00:42:46.050Z
serverLoad-value	0	2019-12-25T00:42:46.050Z
txTimeInQueue-average	0	2019-12-25T00:42:46.050Z
txInjected-average	0	2019-12-25T00:42:47.052Z
txInjected-total	0	2019-12-25T00:42:47.052Z
txApplied-average	0	2019-12-25T00:42:47.052Z
txApplied-total	0	2019-12-25T00:42:47.052Z
txRejected-average	0	2019-12-25T00:42:47.052Z
txRejected-total	0	2019-12-25T00:42:47.052Z
txExpired-average	0	2019-12-25T00:42:47.052Z
txExpired-total	0	2019-12-25T00:42:47.052Z
txProcessed-average	0	2019-12-25T00:42:47.052Z
txProcessed-total	0	2019-12-25T00:42:47.052Z
queueLength-average	0	2019-12-25T00:42:47.052Z
queueLength-value	0	2019-12-25T00:42:47.052Z
serverLoad-average	0	2019-12-25T00:42:47.052Z
serverLoad-value	0	2019-12-25T00:42:47.052Z
txTimeInQueue-average	0	2019-12-25T00:42:47.052Z
txInjected-average	0	2019-12-25T00:42:48.057Z
txInjected-total	0	2019-12-25T00:42:48.057Z
txApplied-average	0	2019-12-25T00:42:48.057Z
txApplied-total	0	2019-12-25T00:42:48.057Z
txRejected-average	0	2019-12-25T00:42:48.057Z
txRejected-total	0	2019-12-25T00:42:48.057Z
txExpired-average	0	2019-12-25T00:42:48.057Z
txExpired-total	0	2019-12-25T00:42:48.057Z
txProcessed-average	0	2019-12-25T00:42:48.057Z
txProcessed-total	0	2019-12-25T00:42:48.057Z
queueLength-average	0	2019-12-25T00:42:48.057Z
queueLength-value	0	2019-12-25T00:42:48.057Z
serverLoad-average	0	2019-12-25T00:42:48.057Z
serverLoad-value	0	2019-12-25T00:42:48.057Z
txTimeInQueue-average	0	2019-12-25T00:42:48.057Z
txInjected-average	0	2019-12-25T00:42:49.061Z
