Name	Value	Time
txInjected-average	0	2019-12-25T00:43:39.179Z
txInjected-total	0	2019-12-25T00:43:39.179Z
txApplied-average	2	2019-12-25T00:43:39.179Z
txApplied-total	2	2019-12-25T00:43:39.179Z
txRejected-average	0	2019-12-25T00:43:39.179Z
txRejected-total	0	2019-12-25T00:43:39.179Z
txExpired-average	0	2019-12-25T00:43:39.179Z
txExpired-total	0	2019-12-25T00:43:39.179Z
txProcessed-average	0	2019-12-25T00:43:39.179Z
txProcessed-total	0	2019-12-25T00:43:39.179Z
queueLength-average	1	2019-12-25T00:43:39.179Z
queueLength-value	1	2019-12-25T00:43:39.179Z
serverLoad-average	0	2019-12-25T00:43:39.179Z
serverLoad-value	0	2019-12-25T00:43:39.179Z
txTimeInQueue-average	2.152	2019-12-25T00:43:39.179Z
txInjected-average	0	2019-12-25T00:43:40.179Z
txInjected-total	0	2019-12-25T00:43:40.179Z
txApplied-average	1	2019-12-25T00:43:40.179Z
txApplied-total	2	2019-12-25T00:43:40.179Z
txRejected-average	0	2019-12-25T00:43:40.179Z
txRejected-total	0	2019-12-25T00:43:40.179Z
txExpired-average	0	2019-12-25T00:43:40.179Z
txExpired-total	0	2019-12-25T00:43:40.179Z
txProcessed-average	0	2019-12-25T00:43:40.179Z
txProcessed-total	0	2019-12-25T00:43:40.179Z
queueLength-average	1	2019-12-25T00:43:40.179Z
queueLength-value	1	2019-12-25T00:43:40.179Z
serverLoad-average	0.2152	2019-12-25T00:43:40.179Z
serverLoad-value	0.4304	2019-12-25T00:43:40.179Z
txTimeInQueue-average	2.652	2019-12-25T00:43:40.179Z
txInjected-average	0	2019-12-25T00:43:41.181Z
txInjected-total	0	2019-12-25T00:43:41.181Z
txApplied-average	0.6666666666666666	2019-12-25T00:43:41.181Z
txApplied-total	2	2019-12-25T00:43:41.181Z
txRejected-average	0	2019-12-25T00:43:41.181Z
txRejected-total	0	2019-12-25T00:43:41.181Z
txExpired-average	0	2019-12-25T00:43:41.181Z
txExpired-total	0	2019-12-25T00:43:41.181Z
txProcessed-average	0	2019-12-25T00:43:41.181Z
txProcessed-total	0	2019-12-25T00:43:41.181Z
queueLength-average	1	2019-12-25T00:43:41.181Z
queueLength-value	1	2019-12-25T00:43:41.181Z
serverLoad-average	0.32026666666666664	2019-12-25T00:43:41.181Z
serverLoad-value	0.5304	2019-12-25T00:43:41.181Z
txTimeInQueue-average	3.1526666666666667	2019-12-25T00:43:41.181Z
txInjected-average	0	2019-12-25T00:43:42.182Z
txInjected-total	0	2019-12-25T00:43:42.182Z
txApplied-average	0.5	2019-12-25T00:43:42.182Z
txApplied-total	2	2019-12-25T00:43:42.182Z
txRejected-average	0	2019-12-25T00:43:42.182Z
txRejected-total	0	2019-12-25T00:43:42.182Z
txExpired-average	0	2019-12-25T00:43:42.182Z
txExpired-total	0	2019-12-25T00:43:42.182Z
txProcessed-average	0	2019-12-25T00:43:42.182Z
txProcessed-total	0	2019-12-25T00:43:42.182Z
queueLength-average	1	2019-12-25T00:43:42.182Z
queueLength-value	1	2019-12-25T00:43:42.182Z
serverLoad-average	0.39783333333333337	2019-12-25T00:43:42.182Z
serverLoad-value	0.6305333333333334	2019-12-25T00:43:42.182Z
txTimeInQueue-average	3.65325	2019-12-25T00:43:42.182Z
txInjected-average	0	2019-12-25T00:43:43.182Z
txInjected-total	0	2019-12-25T00:43:43.182Z
txApplied-average	0.6	2019-12-25T00:43:43.182Z
txApplied-total	3	2019-12-25T00:43:43.182Z
txRejected-average	0	2019-12-25T00:43:43.182Z
txRejected-total	0	2019-12-25T00:43:43.182Z
txExpired-average	0	2019-12-25T00:43:43.182Z
txExpired-total	0	2019-12-25T00:43:43.182Z
txProcessed-average	0.2	2019-12-25T00:43:43.182Z
txProcessed-total	1	2019-12-25T00:43:43.182Z
queueLength-average	0.8	2019-12-25T00:43:43.182Z
queueLength-value	0	2019-12-25T00:43:43.182Z
serverLoad-average	0.46439666666666674	2019-12-25T00:43:43.182Z
serverLoad-value	0.73065	2019-12-25T00:43:43.182Z
txTimeInQueue-average	2.9226	2019-12-25T00:43:43.182Z
txInjected-average	0	2019-12-25T00:43:44.182Z
txInjected-total	0	2019-12-25T00:43:44.182Z
txApplied-average	0.5	2019-12-25T00:43:44.182Z
txApplied-total	3	2019-12-25T00:43:44.182Z
txRejected-average	0	2019-12-25T00:43:44.182Z
txRejected-total	0	2019-12-25T00:43:44.182Z
txExpired-average	0	2019-12-25T00:43:44.182Z
txExpired-total	0	2019-12-25T00:43:44.182Z
txProcessed-average	0.16666666666666666	2019-12-25T00:43:44.182Z
txProcessed-total	1	2019-12-25T00:43:44.182Z
queueLength-average	0.6666666666666666	2019-12-25T00:43:44.182Z
queueLength-value	0	2019-12-25T00:43:44.182Z
serverLoad-average	0.4844172222222223	2019-12-25T00:43:44.182Z
serverLoad-value	0.58452	2019-12-25T00:43:44.182Z
txTimeInQueue-average	2.4355	2019-12-25T00:43:44.182Z
txInjected-average	0	2019-12-25T00:43:45.183Z
txInjected-total	0	2019-12-25T00:43:45.183Z
txApplied-average	0.42857142857142855	2019-12-25T00:43:45.183Z
txApplied-total	3	2019-12-25T00:43:45.183Z
txRejected-average	0	2019-12-25T00:43:45.183Z
txRejected-total	0	2019-12-25T00:43:45.183Z
txExpired-average	0	2019-12-25T00:43:45.183Z
txExpired-total	0	2019-12-25T00:43:45.183Z
txProcessed-average	0.14285714285714285	2019-12-25T00:43:45.183Z
txProcessed-total	1	2019-12-25T00:43:45.183Z
queueLength-average	0.5714285714285714	2019-12-25T00:43:45.183Z
queueLength-value	0	2019-12-25T00:43:45.183Z
serverLoad-average	0.4848004761904762	2019-12-25T00:43:45.183Z
serverLoad-value	0.48710000000000003	2019-12-25T00:43:45.183Z
txTimeInQueue-average	2.0875714285714286	2019-12-25T00:43:45.183Z
txInjected-average	0	2019-12-25T00:43:46.185Z
txInjected-total	0	2019-12-25T00:43:46.185Z
txApplied-average	0.375	2019-12-25T00:43:46.185Z
txApplied-total	3	2019-12-25T00:43:46.185Z
txRejected-average	0	2019-12-25T00:43:46.185Z
txRejected-total	0	2019-12-25T00:43:46.185Z
txExpired-average	0	2019-12-25T00:43:46.185Z
txExpired-total	0	2019-12-25T00:43:46.185Z
txProcessed-average	0.125	2019-12-25T00:43:46.185Z
txProcessed-total	1	2019-12-25T00:43:46.185Z
queueLength-average	0.5	2019-12-25T00:43:46.185Z
queueLength-value	0	2019-12-25T00:43:46.185Z
serverLoad-average	0.4763897023809524	2019-12-25T00:43:46.185Z
serverLoad-value	0.4175142857142857	2019-12-25T00:43:46.185Z
txTimeInQueue-average	1.826625	2019-12-25T00:43:46.185Z
txInjected-average	0	2019-12-25T00:43:47.185Z
txInjected-total	0	2019-12-25T00:43:47.185Z
txApplied-average	0.3333333333333333	2019-12-25T00:43:47.185Z
txApplied-total	3	2019-12-25T00:43:47.185Z
txRejected-average	0	2019-12-25T00:43:47.185Z
txRejected-total	0	2019-12-25T00:43:47.185Z
txExpired-average	0	2019-12-25T00:43:47.185Z
txExpired-total	0	2019-12-25T00:43:47.185Z
txProcessed-average	0.1111111111111111	2019-12-25T00:43:47.185Z
txProcessed-total	1	2019-12-25T00:43:47.185Z
queueLength-average	0.4444444444444444	2019-12-25T00:43:47.185Z
queueLength-value	0	2019-12-25T00:43:47.185Z
serverLoad-average	0.46404917989417993	2019-12-25T00:43:47.185Z
serverLoad-value	0.365325	2019-12-25T00:43:47.185Z
txTimeInQueue-average	1.6236666666666668	2019-12-25T00:43:47.185Z
txInjected-average	0	2019-12-25T00:43:48.191Z
txInjected-total	0	2019-12-25T00:43:48.191Z
txApplied-average	0.3	2019-12-25T00:43:48.191Z
