Name	Value	Time
txInjected-average	0	2019-12-25T00:40:39.129Z
txInjected-total	0	2019-12-25T00:40:39.129Z
txApplied-average	0	2019-12-25T00:40:39.129Z
txApplied-total	0	2019-12-25T00:40:39.129Z
txRejected-average	0	2019-12-25T00:40:39.129Z
txRejected-total	0	2019-12-25T00:40:39.129Z
txExpired-average	0	2019-12-25T00:40:39.129Z
txExpired-total	0	2019-12-25T00:40:39.129Z
txProcessed-average	0	2019-12-25T00:40:39.129Z
txProcessed-total	0	2019-12-25T00:40:39.129Z
queueLength-average	0	2019-12-25T00:40:39.129Z
queueLength-value	0	2019-12-25T00:40:39.129Z
serverLoad-average	0	2019-12-25T00:40:39.129Z
serverLoad-value	0	2019-12-25T00:40:39.129Z
txTimeInQueue-average	0	2019-12-25T00:40:39.129Z
txInjected-average	0	2019-12-25T00:40:40.129Z
txInjected-total	0	2019-12-25T00:40:40.129Z
txApplied-average	0	2019-12-25T00:40:40.129Z
txApplied-total	0	2019-12-25T00:40:40.129Z
txRejected-average	0	2019-12-25T00:40:40.129Z
txRejected-total	0	2019-12-25T00:40:40.129Z
txExpired-average	0	2019-12-25T00:40:40.129Z
txExpired-total	0	2019-12-25T00:40:40.129Z
txProcessed-average	0	2019-12-25T00:40:40.129Z
txProcessed-total	0	2019-12-25T00:40:40.129Z
queueLength-average	0	2019-12-25T00:40:40.129Z
queueLength-value	0	2019-12-25T00:40:40.129Z
serverLoad-average	0	2019-12-25T00:40:40.129Z
serverLoad-value	0	2019-12-25T00:40:40.129Z
txTimeInQueue-average	0	2019-12-25T00:40:40.129Z
txInjected-average	0	2019-12-25T00:40:41.129Z
txInjected-total	0	2019-12-25T00:40:41.129Z
txApplied-average	0	2019-12-25T00:40:41.129Z
txApplied-total	0	2019-12-25T00:40:41.129Z
txRejected-average	0	2019-12-25T00:40:41.129Z
txRejected-total	0	2019-12-25T00:40:41.129Z
txExpired-average	0	2019-12-25T00:40:41.129Z
txExpired-total	0	2019-12-25T00:40:41.129Z
txProcessed-average	0	2019-12-25T00:40:41.129Z
