Name	Value	Time
txInjected-average	0	2019-12-25T00:43:01.730Z
txInjected-total	0	2019-12-25T00:43:01.730Z
txApplied-average	0	2019-12-25T00:43:01.730Z
txApplied-total	0	2019-12-25T00:43:01.730Z
txRejected-average	0	2019-12-25T00:43:01.730Z
txRejected-total	0	2019-12-25T00:43:01.730Z
txExpired-average	0	2019-12-25T00:43:01.730Z
txExpired-total	0	2019-12-25T00:43:01.730Z
txProcessed-average	0	2019-12-25T00:43:01.730Z
txProcessed-total	0	2019-12-25T00:43:01.730Z
queueLength-average	0	2019-12-25T00:43:01.730Z
queueLength-value	0	2019-12-25T00:43:01.730Z
serverLoad-average	0	2019-12-25T00:43:01.730Z
serverLoad-value	0	2019-12-25T00:43:01.730Z
txTimeInQueue-average	0	2019-12-25T00:43:01.730Z
txInjected-average	0	2019-12-25T00:43:02.733Z
txInjected-total	0	2019-12-25T00:43:02.733Z
txApplied-average	0	2019-12-25T00:43:02.733Z
txApplied-total	0	2019-12-25T00:43:02.733Z
txRejected-average	0	2019-12-25T00:43:02.733Z
txRejected-total	0	2019-12-25T00:43:02.733Z
txExpired-average	0	2019-12-25T00:43:02.733Z
txExpired-total	0	2019-12-25T00:43:02.733Z
txProcessed-average	0	2019-12-25T00:43:02.733Z
txProcessed-total	0	2019-12-25T00:43:02.733Z
queueLength-average	0	2019-12-25T00:43:02.733Z
queueLength-value	0	2019-12-25T00:43:02.733Z
serverLoad-average	0	2019-12-25T00:43:02.733Z
serverLoad-value	0	2019-12-25T00:43:02.733Z
txTimeInQueue-average	0	2019-12-25T00:43:02.733Z
txInjected-average	0	2019-12-25T00:43:03.734Z
txInjected-total	0	2019-12-25T00:43:03.734Z
txApplied-average	0	2019-12-25T00:43:03.734Z
txApplied-total	0	2019-12-25T00:43:03.734Z
txRejected-average	0	2019-12-25T00:43:03.734Z
txRejected-total	0	2019-12-25T00:43:03.734Z
txExpired-average	0	2019-12-25T00:43:03.734Z
txExpired-total	0	2019-12-25T00:43:03.734Z
txProcessed-average	0	2019-12-25T00:43:03.734Z
txProcessed-total	0	2019-12-25T00:43:03.734Z
queueLength-average	0	2019-12-25T00:43:03.734Z
queueLength-value	0	2019-12-25T00:43:03.734Z
serverLoad-average	0	2019-12-25T00:43:03.734Z
serverLoad-value	0	2019-12-25T00:43:03.734Z
txTimeInQueue-average	0	2019-12-25T00:43:03.734Z
txInjected-average	0	2019-12-25T00:43:04.738Z
txInjected-total	0	2019-12-25T00:43:04.738Z
txApplied-average	0	2019-12-25T00:43:04.738Z
txApplied-total	0	2019-12-25T00:43:04.738Z
txRejected-average	0	2019-12-25T00:43:04.738Z
txRejected-total	0	2019-12-25T00:43:04.738Z
txExpired-average	0	2019-12-25T00:43:04.738Z
txExpired-total	0	2019-12-25T00:43:04.738Z
txProcessed-average	0	2019-12-25T00:43:04.738Z
txProcessed-total	0	2019-12-25T00:43:04.738Z
queueLength-average	0	2019-12-25T00:43:04.738Z
